1) Demo,ProxyID,Fed7Race,StudentHomeLanguage,Grade,SchoolNumber,SchoolName,BilingualServed,BilingualEligible,Gender,SpecialEducation,pgy,egy,EnrollmentCodeDescription,WithdrawDate,GraduateDate,DropoutDate
1) Demo,3001717,Black,Somali,12,14,Garfield High School,Y,Y,Female,N,2014,2014,Graduated with regular High School Diploma,,20140620,
1) Demo,3001751,Asian,Cantonese,1,226,Bailey Gatzert Elementary,N,N,Male,N,,,Currently Enrolled/Attending,,,
1) Demo,3001759,Asian,Vietnamese,1,226,Bailey Gatzert Elementary,N,N,Male,N,,,Confirmed transfer out of the school within district,,,
1) Demo,3003751,Black,Oromo (Ethiopia),1,244,Leschi Elementary,Y,Y,Female,N,,,Currently Enrolled/Attending,,,
1) Demo,3004741,Black,English,9,14,Garfield High School,N,N,Female,N,2017,2017,Confirmed transfer out of the school district,,,
1) Demo,3005781,Black,English,1,226,Bailey Gatzert Elementary,N,N,Male,N,,,Currently Enrolled/Attending,,,
1) Demo,3006735,Hispanic,English,K,226,Bailey Gatzert Elementary,N,N,Female,N,,,Currently Enrolled/Attending,,,
1) Demo,3013750,Black,English,K,226,Bailey Gatzert Elementary,N,N,Male,N,,,Currently Enrolled/Attending,,,
1) Demo,3014714,Multi-Race,English,2,n/a,Not Applicable,N,N,Female,N,,,Fully Admitted to SPS,,,
1) Demo,3015716,Black,English,9,14,Garfield High School,N,N,Female,N,2017,2017,Currently Enrolled/Attending,,,
1) Demo,3016744,Asian,Vietnamese,4,226,Bailey Gatzert Elementary,Y,Y,Female,N,,,Currently Enrolled/Attending,,,
1) Demo,3018732,Asian,Toishanese,K,226,Bailey Gatzert Elementary,Y,Y,Male,N,,,Currently Enrolled/Attending,,,
1) Demo,3020717,Caucasian,English,2,245,Lowell Elementary,N,N,Male,Y,,,Currently Enrolled/Attending,,,
1) Demo,3021733,Black,Somali,K,226,Bailey Gatzert Elementary,Y,Y,Male,N,,,Currently Enrolled/Attending,,,
1) Demo,3026749,Hispanic,Spanish,5,226,Bailey Gatzert Elementary,N,N,Male,N,,,Currently Enrolled/Attending,,,
1) Demo,3027752,Black,Somali,5,226,Bailey Gatzert Elementary,N,N,Female,N,,,Currently Enrolled/Attending,,,
1) Demo,3039412,Caucasian,Spanish,K,256,John Muir Elementary,Y,Y,Female,ã,,,Currently Enrolled/Attending,,,
1) Demo,3041752,Black,Somali,2,226,Bailey Gatzert Elementary,N,N,Female,N,,,Currently Enrolled/Attending,,,
1) Demo,3042715,Black,English,2,275,Van Asselt Elementary,N,N,Female,Y,,,Currently Enrolled/Attending,,,
1) Demo,3042789,Asian,Toishanese,2,226,Bailey Gatzert Elementary,Y,Y,Male,N,,,Currently Enrolled/Attending,,,
1) Demo,3042796,Asian,Cantonese,K,226,Bailey Gatzert Elementary,Y,Y,Female,N,,,Currently Enrolled/Attending,,,
1) Demo,3044745,Black,Somali,1,226,Bailey Gatzert Elementary,N,N,Female,N,,,Currently Enrolled/Attending,,,
1) Demo,3044789,Asian,Toishanese,7,117,Washington Middle School,Y,Y,Female,N,,,Currently Enrolled/Attending,,,
1) Demo,3054413,Hispanic,English,11,715,Interagency at KC Youth Service,N,N,Male,ã,2015,2015,Unknown,,,20140218
1) Demo,3056791,Multi-Race,Vietnamese,K,226,Bailey Gatzert Elementary,N,N,Female,N,,,Currently Enrolled/Attending,,,
1) Demo,3057755,Black,Somali,1,226,Bailey Gatzert Elementary,Y,Y,Male,N,,,Currently Enrolled/Attending,,,
1) Demo,3058714,Black,English,2,249,Madrona K-8 School,N,N,Male,N,,,Currently Enrolled/Attending,,,
1) Demo,3067737,Black,Amharic,4,226,Bailey Gatzert Elementary,Y,Y,Female,N,,,Currently Enrolled/Attending,,,
1) Demo,3070758,Black,Somali,1,226,Bailey Gatzert Elementary,Y,Y,Male,N,,,Currently Enrolled/Attending,,,
1) Demo,3089757,Hispanic,Spanish,1,226,Bailey Gatzert Elementary,Y,Y,Male,N,,,Currently Enrolled/Attending,,,
1) Demo,3094412,Black,Somali,K,226,Bailey Gatzert Elementary,Y,Y,Male,ã,,,Currently Enrolled/Attending,,,
1) Demo,3094732,Caucasian,English,K,244,Leschi Elementary,N,N,Male,N,,,Currently Enrolled/Attending,,,
1) Demo,3095417,Caucasian,English,10,715,Interagency at KC Youth Service,N,N,Female,ã,2016,2016,Unknown,,,20140516
1) Demo,3098755,Black,Amharic,1,226,Bailey Gatzert Elementary,Y,Y,Male,N,,,Currently Enrolled/Attending,,,
1) Demo,3102745,Black,Somali,10,14,Garfield High School,N,N,Male,N,2016,2016,Currently Enrolled/Attending,,,
1) Demo,3104791,Caucasian,English,10,715,Interagency at KC Youth Service,N,N,Male,N,2015,2015,Unknown,,,20140228
1) Demo,3115742,Asian,English,9,14,Garfield High School,N,N,Female,N,2017,2017,Currently Enrolled/Attending,,,
1) Demo,3116780,Hispanic,English,1,249,Madrona K-8 School,N,N,Male,N,,,Currently Enrolled/Attending,,,
