tab4,ProxyID,MapMathRitF13,MapMathRitW14,MapMathRitS14,MapMathPerclF13,MapMathPerclW14,MapMathPerclS14,MapReadRitF13,MapReadRitW14,MapReadRitS14,MapReadPerclF13,MapReadPerclW14,MapReadPerclS14
4) MAP,3001751,175,177,190,82,64,81,165,182,184,64,80,69
4) MAP,3001759,166,174,,59,55,,180,178,,94,71,
4) MAP,3003751,154,152,163,26,6,10,149,163,157,19,28,9
4) MAP,3005781,170,178,187,70,67,74,167,170,183,70,48,66
4) MAP,3006735,149,156,178,67,66,92,153,151,166,83,50,76
4) MAP,3013750,136,141,155,25,22,38,134,,157,21,,48
4) MAP,3014714,177,,,85,,,177,,,90,,
4) MAP,3016744,212,222,224,73,84,79,187,198,204,19,36,42
4) MAP,3018732,,131,146,,6,16,125,127,140,5,1,7
4) MAP,3020717,172,,190,32,,46,152,,176,6,,18
4) MAP,3021733,147,154,158,61,60,47,146,158,157,62,74,48
4) MAP,3026749,208,213,217,36,37,39,216,209,210,73,48,44
4) MAP,3027752,202,200,208,22,11,19,199,208,212,28,45,49
4) MAP,3039412,149,,158,67,,47,141,,153,44,,34
4) MAP,3041752,180,188,193,56,58,55,187,186,196,76,56,67
4) MAP,3042715,166,143,177,17,1,13,143,144,149,2,1,1
4) MAP,3042789,188,192,210,78,70,93,165,180,194,24,40,62
4) MAP,3042796,125,143,155,5,27,38,124,142,152,4,20,31
4) MAP,3044745,174,185,193,80,84,86,190,190,198,99,93,93
4) MAP,3044789,222,,219,42,,26,175,,199,1,,7
4) MAP,3056791,138,153,156,31,57,41,134,148,157,21,39,48
4) MAP,3057755,157,164,171,33,26,26,156,168,185,37,42,71
4) MAP,3058714,200,191,209,95,67,92,186,181,202,74,43,80
4) MAP,3067737,196,191,201,28,9,21,183,198,194,12,36,18
4) MAP,3070758,157,169,197,33,40,92,165,175,201,64,63,95
4) MAP,3089757,147,149,167,12,3,17,151,151,168,23,7,27
4) MAP,3094412,135,138,150,23,15,25,126,142,144,6,20,12
4) MAP,3094732,,,200,,,99,,,200,,,99
4) MAP,3098755,175,182,192,82,77,85,164,171,190,61,51,81
4) MAP,3116780,162,197,201,48,97,96,157,183,186,40,82,73
4) MAP,3118786,173,184,195,77,82,90,169,176,183,75,65,66
4) MAP,3120780,181,182,195,4,2,11,174,192,205,4,21,45
4) MAP,3123751,151,156,167,19,10,17,153,149,173,28,5,39
4) MAP,3129780,181,,204,19,,53,182,171,190,30,5,26
4) MAP,3131751,173,180,187,77,72,74,174,187,190,86,89,81
4) MAP,3137757,,,169,,,22,147,,162,15,,15
4) MAP,3138745,189,,194,1,,2,196,,193,8,,3
4) MAP,3144745,181,183,177,59,42,13,185,184,179,72,51,24
4) MAP,3145714,154,159,176,3,2,11,151,168,199,5,15,74
4) MAP,3155750,150,164,171,17,26,26,145,151,171,12,7,34
4) MAP,3156745,196,,200,62,,41,194,206,198,61,78,47
4) MAP,3157411,,193,181,,1,1,,156,177,,1,1
4) MAP,3159754,214,216,216,53,45,37,208,198,204,53,20,28
4) MAP,3167412,,153,162,,57,59,144,154,165,55,61,73
4) MAP,3168417,129,146,162,10,35,59,132,138,148,16,12,20
4) MAP,3172742,205,209,226,29,27,63,200,207,213,31,42,52
4) MAP,3172795,,,164,,,64,,,164,,,70
4) MAP,3174742,190,,185,82,,31,169,,199,33,,74
4) MAP,3175418,,191,210,,9,43,,186,204,,11,42
4) MAP,3180748,139,142,167,34,24,72,130,152,162,12,54,64
4) MAP,3182758,186,194,198,96,95,93,190,208,201,99,99,95
4) MAP,3183733,,,170,,,79,,,168,,,81
4) MAP,3185715,193,192,203,87,70,82,185,207,209,72,94,90
4) MAP,3199746,207,,225,88,,95,197,203,212,68,72,81
4) MAP,3200412,200,207,201,18,23,9,196,200,197,22,24,14
4) MAP,3205411,,207,219,,45,68,,203,215,,49,72
4) MAP,3205749,216,,227,97,,97,197,,216,68,,88
4) MAP,3219793,175,177,199,40,25,73,155,154,157,9,2,1
4) MAP,3223749,235,,250,71,,87,237,,234,93,,84
4) MAP,3226755,153,166,177,24,31,44,146,154,159,13,11,11
4) MAP,3231738,131,140,166,1,1,15,126,140,149,1,1,3
4) MAP,3244718,186,180,188,9,2,4,168,182,181,1,7,3
4) MAP,3255412,,,167,,,72,,,159,,,54
4) MAP,3257412,214,217,222,36,35,41,206,215,218,33,52,54
4) MAP,3259412,,,133,,,2,,,130,,,1
4) MAP,3262783,168,172,179,22,14,16,165,176,171,24,30,11
4) MAP,3263412,168,188,186,65,89,71,171,183,186,80,82,73
4) MAP,3270412,187,192,191,3,4,2,199,192,193,28,10,9
4) MAP,3271732,,,,,,,,,160,,,58
4) MAP,3281712,164,,178,14,,14,173,,201,43,,78
4) MAP,3284741,,201,,,12,,,194,,,13,
4) MAP,3285781,174,190,198,37,64,70,179,188,193,58,62,59
4) MAP,3286419,129,,151,10,,27,127,143,147,7,23,18
4) MAP,3288412,148,,174,14,,35,144,146,174,10,3,42
4) MAP,3289746,117,,117,1,,1,119,,131,1,,1
4) MAP,3291749,226,251,256,40,85,89,231,,237,78,,84
4) MAP,3294756,,,,,,,225,,,59,,
4) MAP,3295780,,173,180,,52,53,156,171,186,37,51,73
4) MAP,3295781,158,173,186,36,52,71,147,161,178,15,23,53
4) MAP,3300733,,,169,,,77,,,170,,,85
4) MAP,3304795,,167,179,,90,93,,157,175,,71,93
4) MAP,3308780,125,,147,5,,18,145,153,153,59,57,34
4) MAP,3310790,163,167,176,94,90,90,146,168,170,62,94,85
4) MAP,3315739,,,,,,,,,136,,,3
4) MAP,3323790,154,162,176,80,82,90,147,161,175,66,82,93
4) MAP,3326788,196,205,217,28,39,63,210,214,201,76,78,34
4) MAP,3326795,142,153,165,44,57,67,137,155,162,30,64,64
4) MAP,3329758,130,139,160,12,17,53,132,145,157,16,29,48
4) MAP,3330782,187,190,194,75,64,59,173,179,181,43,38,28
4) MAP,3331735,148,163,180,64,84,94,142,,168,48,,81
4) MAP,3337782,178,186,203,49,52,82,163,173,182,20,24,30
4) MAP,3338782,199,207,211,36,45,46,187,192,203,19,21,40
4) MAP,3343419,177,188,200,46,58,76,157,182,197,11,46,69
4) MAP,3345790,162,171,174,93,95,87,163,180,193,97,99,99
4) MAP,3346780,157,171,184,33,46,65,163,166,177,58,36,50
4) MAP,3352758,154,163,168,26,23,19,154,164,165,31,31,21
4) MAP,3358417,204,,211,10,,13,211,,222,35,,56
4) MAP,3362713,173,,192,34,,52,158,,175,12,,16
4) MAP,3363412,129,139,156,10,17,41,140,,149,40,,23
4) MAP,3368742,167,170,171,19,11,5,173,183,190,43,48,51
4) MAP,3377413,,,,,,,,,142,,,9
4) MAP,3378739,,,194,,,99,,,177,,,95
4) MAP,3382413,146,153,165,57,57,67,,146,143,,32,11
4) MAP,3383413,155,163,170,4,4,4,150,154,164,5,2,4
4) MAP,3384752,159,180,187,39,72,74,144,157,174,10,15,42
4) MAP,3386730,138,145,154,31,32,35,141,140,154,44,16,38
4) MAP,3387411,,214,226,,65,83,,205,210,,55,59
4) MAP,3387413,228,,,37,,,206,,,15,,
4) MAP,3389413,143,163,179,7,23,50,152,156,160,26,14,12
4) MAP,3389751,188,187,203,97,87,97,198,193,207,99,95,98
4) MAP,3394785,234,,,69,,,224,,,71,,
4) MAP,3401786,209,,201,16,,5,197,,203,9,,12
4) MAP,3406739,,,157,,,44,,,156,,,44
4) MAP,3407732,,,173,,,85,,,181,,,98
4) MAP,3420796,130,129,155,12,4,38,131,137,138,14,10,5
4) MAP,3422796,,,,,,,,,162,,,64
4) MAP,3424419,237,246,250,,68,77,206,194,207,,2,16
4) MAP,3426712,178,,197,49,,68,182,,203,65,,82
4) MAP,3426747,174,188,195,80,89,90,170,193,195,78,95,89
4) MAP,3426796,132,167,177,16,90,91,131,140,163,14,16,67
4) MAP,3428796,,,,,,,,,149,,,23
4) MAP,3429749,169,170,179,24,11,16,164,175,178,22,28,22
4) MAP,3434742,196,205,207,12,19,17,212,206,210,63,39,44
4) MAP,3436750,211,212,220,71,60,70,188,195,198,20,28,27
4) MAP,3437733,142,141,157,44,22,44,134,145,152,21,29,31
4) MAP,3440786,182,174,202,62,18,80,190,193,191,82,74,54
4) MAP,3441795,132,136,163,16,12,62,128,147,160,8,36,58
4) MAP,3443796,,,164,,,64,,,149,,,23
4) MAP,3444742,221,,222,54,,41,200,,163,20,,1
4) MAP,3444796,131,,155,14,,38,118,,135,1,,3
4) MAP,3448796,,,172,,,84,,,158,,,51
4) MAP,3449796,149,158,169,67,72,77,139,,167,37,,79
4) MAP,3458757,174,,194,80,,88,173,,185,84,,71
4) MAP,3459417,159,163,177,90,84,91,153,164,185,83,88,99
4) MAP,3462796,137,158,170,28,72,79,140,144,164,40,26,70
4) MAP,3463788,176,199,201,83,98,96,182,191,194,96,94,88
4) MAP,3464734,150,167,174,17,34,35,152,167,186,26,39,73
4) MAP,3464737,150,151,169,70,51,77,142,155,159,48,64,54
4) MAP,3464749,182,192,200,62,70,76,167,187,191,28,59,54
4) MAP,3468413,187,203,205,10,34,30,178,181,188,6,6,9
4) MAP,3472719,205,204,205,98,93,86,206,210,216,97,96,96
4) MAP,3474795,,,159,,,50,,,177,,,95
4) MAP,3479715,,178,188,,27,40,,171,182,,20,30
4) MAP,3482715,162,175,183,11,20,25,165,181,185,24,43,38
4) MAP,3485418,,141,140,,1,1,,120,128,,1,1
4) MAP,3489742,160,178,183,8,27,25,160,159,164,15,5,4
4) MAP,3490793,223,,229,59,,58,221,,228,73,,79
4) MAP,3492419,155,159,173,82,75,85,148,,160,69,,58
4) MAP,3494752,166,,192,17,,52,167,,195,28,,64
4) MAP,3494789,162,188,186,48,89,71,163,,178,58,,53
4) MAP,3498793,227,,231,68,,63,225,,225,81,,72
4) MAP,3501417,258,,269,95,,97,244,,250,95,,97
4) MAP,3501780,215,,223,38,,44,226,,212,83,,38
4) MAP,3502417,261,,259,99,,98,245,,245,99,,97
4) MAP,3502780,208,203,214,63,34,54,196,217,212,40,84,65
4) MAP,3504417,182,196,201,62,80,78,188,192,197,78,72,69
4) MAP,3523746,230,,,50,,,222,,,57,,
4) MAP,3525413,177,,,2,,,175,,,4,,
4) MAP,3533758,209,,230,99,,99,197,,200,99,,94
4) MAP,3538417,217,218,222,61,51,53,219,220,216,80,77,60
4) MAP,3541796,163,,178,94,,92,159,,166,93,,76
4) MAP,3544413,,206,219,,10,26,,172,194,,1,4
4) MAP,3544792,157,168,168,33,37,19,156,168,164,37,42,19
4) MAP,3548758,153,161,168,24,19,19,149,,157,19,,9
4) MAP,3552411,,171,183,,46,62,,162,179,,26,56
4) MAP,3553411,,,230,,,61,,,225,,,72
4) MAP,3554411,,,230,,,40,,,230,,,70
4) MAP,3563742,170,178,196,26,27,65,152,165,193,6,10,59
4) MAP,3580749,211,215,221,71,68,73,193,197,207,32,33,51
4) MAP,3581757,174,,184,80,,65,167,,176,70,,48
4) MAP,3581795,138,143,163,31,27,62,141,136,163,44,8,67
4) MAP,3582788,198,207,216,99,99,99,190,199,205,99,98,97
4) MAP,3595750,140,152,170,5,6,24,144,149,168,10,5,27
4) MAP,3600411,,142,,,24,,,140,151,,16,28
4) MAP,3600795,,149,157,,45,44,,149,150,,43,26
4) MAP,3604741,171,170,186,29,11,34,159,188,174,14,62,15
4) MAP,3607411,,171,187,,46,74,,160,183,,21,66
4) MAP,3608798,130,137,148,12,14,20,131,149,154,14,43,38
4) MAP,3612732,141,145,158,41,32,47,142,148,156,48,39,44
4) MAP,3612788,236,,244,86,,87,221,,231,73,,84
4) MAP,3613791,147,149,170,61,45,79,139,150,158,37,46,51
4) MAP,3614788,226,,232,66,,66,216,,217,60,,52
4) MAP,3614790,204,,,6,,,205,,,17,,
4) MAP,3623718,184,177,185,67,25,31,173,180,183,43,40,33
4) MAP,3623749,186,186,195,73,52,62,185,179,184,72,38,35
4) MAP,3628413,203,213,215,24,37,34,207,199,212,50,22,49
4) MAP,3633714,178,182,184,13,39,28,175,183,181,16,48,28
4) MAP,3637713,180,179,198,56,30,70,170,172,180,35,22,26
