SchoolYear,StudentID,LastName,FirstName,CurrentEnrollmentSchoolName,CurrentGrade,Gender,RaceEthnicity,ELLEligible,ELLServed,IEP,HomeLanguage,OnTrackToGraduate
2014Ð15,6083589,,,Madrona K-8 School,3rd,Male,Caucasian,N,N,N,English,n/a
2014Ð15,3387411,,,Bailey Gatzert Elementary,5th,Male,Caucasian,N,N,Ñ,English,n/a
2014Ð15,3890418,,,Bryant Elementary,1st,Female,Asian,N,N,Ñ,Cantonese,n/a
2014Ð15,6940551,,,Stevens Elementary,1st,Male,African American or Black,N,N,Y,English,n/a
2014Ð15,6937589,,,Bailey Gatzert Elementary,3rd,Male,African American or Black,N,N,N,Somali,n/a
2014Ð15,7100001,,,Garfield High School,11th,Female,African American or Black,N,N,N,Oromo (Ethiopia),On Track
2014Ð15,6180554,,,Bailey Gatzert Elementary,3rd,Female,African American or Black,Y,Y,N,Somali,n/a
2014Ð15,7964154,,,Garfield High School,9th,Male,Asian,N,N,N,English,On Track
2014Ð15,6319413,,,Leschi Elementary,5th,Female,African American or Black,N,N,Y,English,n/a
2014Ð15,3521418,,,Thurgood Marshall Elementary,K,Female,Caucasian,Y,Y,Ñ,Russian,n/a
2014Ð15,7056321,,,Washington Middle School,7th,Female,Asian,N,N,N,Vietnamese,n/a
2014Ð15,6783703,,,Washington Middle School,8th,Female,African American or Black,N,N,N,Amharic,n/a
2014Ð15,3864745,,,Thurgood Marshall Elementary,2nd,Male,Asian,Y,Y,Y,Vietnamese,n/a
2014Ð15,3693794,,,Bailey Gatzert Elementary,1st,Male,African American or Black,N,N,N,English,n/a
2014Ð15,7560338,,,Garfield High School,12th,Female,African American or Black,N,N,N,English,On Track
2014Ð15,7353300,,,Washington Middle School,7th,Male,African American or Black,N,N,Y,English,n/a
2014Ð15,7272558,,,Interagency Academy,11th,Female,Hispanic,N,N,N,Spanish,Off Track
2014Ð15,3631449,,,Bailey Gatzert Elementary,K,Male,Hispanic,N,N,Ñ,English,n/a
2014Ð15,7375107,,,Washington Middle School,8th,Male,African American or Black,N,N,N,English,n/a
2014Ð15,3679744,,,Bailey Gatzert Elementary,1st,Male,Hispanic,Y,Y,N,Spanish,n/a
2014Ð15,3317442,,,Garfield High School,12th,Male,Multiracial,N,N,Ñ,English,On Track
2014Ð15,3501780,,,Washington Middle School,7th,Male,African American or Black,N,N,N,English,n/a
2014Ð15,6892557,,,Stevens Elementary,2nd,Male,African American or Black,N,N,Y,English,n/a
2014Ð15,6586599,,,Bailey Gatzert Elementary,K,Male,Hispanic,Y,Y,N,English,n/a
2014Ð15,6542700,,,Bailey Gatzert Elementary,5th,Male,Asian,N,N,N,Toishanese,n/a
2014Ð15,7368854,,,Washington Middle School,7th,Female,African American or Black,Y,Y,N,Somali,n/a
2014Ð15,3652416,,,Lowell Elementary,K,Male,Multiracial,N,N,Ñ,English,n/a
2014Ð15,6988706,,,Leschi Elementary,5th,Female,Asian,Y,Y,N,Tagalog,n/a
2014Ð15,7290602,,,Garfield High School,9th,Female,Hispanic,N,N,N,Spanish,On Track
2014Ð15,3205749,,,John Muir Elementary,4th,Female,Caucasian,N,N,N,English,n/a
2014Ð15,3079411,,,Bailey Gatzert Elementary,K,Female,Asian,Y,Y,Ñ,Tagalog,n/a
2014Ð15,7055001,,,West Seattle High School,10th,Male,Asian,N,N,Y,English,On Track
2014Ð15,3116780,,,Madrona K-8 School,2nd,Male,Hispanic,N,N,N,English,n/a
2014Ð15,7452225,,,Rainier Beach High School,12th,Female,African American or Black,N,N,N,English,On Track
2014Ð15,7121959,,,Garfield High School,11th,Male,African American or Black,N,N,N,Amharic,On Track
2014Ð15,3444742,,,Washington Middle School,7th,Male,African American or Black,N,N,Y,English,n/a
2014Ð15,3472719,,,Bailey Gatzert Elementary,3rd,Female,Hispanic,N,N,N,English,n/a
2014Ð15,3695710,,,Garfield High School,11th,Female,African American or Black,Y,Y,N,Somali,On Track
2014Ð15,7375870,,,Washington Middle School,6th,Female,Hispanic,N,N,N,Spanish,n/a
2014Ð15,3693419,,,Garfield High School,11th,Male,Asian,Y,Y,Ñ,Vietnamese,Off Track
2014Ð15,6084584,,,TOPS K-8 School,3rd,Male,African American or Black,N,N,N,Tigrinya (Tigrigna),n/a
2014Ð15,6298551,,,Pathfinder K-8 School,5th,Male,Caucasian,N,N,N,English,n/a
