StudentID,DisciplineActionDesc
3050412,In-House Suspension
3124786,Short-Term Suspension
3124786,Short-Term Suspension
3172418,Short-Term Suspension
3193417,Short-Term Suspension
3200412,Short-Term Suspension
3200412,Short-Term Suspension
3200412,Short-Term Suspension
3200412,School Based Action
3284414,School Based Action
3284414,Office Referral
3284414,School Based Action
3362447,In-House Suspension
3401786,Short-Term Suspension
3401786,Short-Term Suspension
3444742,In-House Suspension
3444742,In-House Suspension
3444742,Short-Term Suspension
3444742,Short-Term Suspension
3489742,Short-Term Suspension
3544413,Short-Term Suspension
3545447,Short-Term Suspension
3545447,In-House Suspension
3595449,School Based Action
3676710,School Based Action
3678744,School Based Action
3678744,Office Referral
3817712,Office Referral
3846749,Short-Term Suspension
3862758,School Based Action
3905749,Long-Term Suspension
6095715,School Based Action
6170531,Office Referral
6170531,Short-Term Suspension
6309510,Expulsion from School
6319413,Short-Term Suspension
6319413,Office Referral
6382729,Short-Term Suspension
6382729,In-House Suspension
6382729,In-House Suspension
6544537,Office Referral
6584462,Short-Term Suspension
6614786,In-House Suspension
6614786,Short-Term Suspension
6614786,In-House Suspension
6903729,In-House Suspension
6903729,Short-Term Suspension
6918700,Short-Term Suspension
6918700,Short-Term Suspension
6918700,In-House Suspension
6940551,Short-Term Suspension
6941517,Short-Term Suspension
6941517,Short-Term Suspension
6941517,Short-Term Suspension
6983497,Office Referral
6983497,Office Referral
6983497,Short-Term Suspension
6983497,Office Referral
7017990,School Based Action
7018116,Short-Term Suspension
7027145,Short-Term Suspension
7034960,Short-Term Suspension
7069330,Short-Term Suspension
7069330,In-House Suspension
7069330,Long-Term Suspension
7069330,Short-Term Suspension
7069330,Short-Term Suspension
7122261,Long-Term Suspension
7122261,Short-Term Suspension
7122931,Short-Term Suspension
7216389,School Based Action
7216389,Short-Term Suspension
7216389,School Based Action
7220871,Short-Term Suspension
7246871,Short-Term Suspension
7246871,Short-Term Suspension
7246871,In-House Suspension
7246871,Short-Term Suspension
7267108,Short-Term Suspension
7267108,In-House Suspension
7267108,Short-Term Suspension
7280139,Short-Term Suspension
7284970,Office Referral
7284970,School Based Action
7284970,School Based Action
7284970,School Based Action
7284970,School Based Action
7353300,Short-Term Suspension
7362183,Short-Term Suspension
7375107,In-House Suspension
7401312,Short-Term Suspension
7401312,In-House Suspension
7401312,Short-Term Suspension
7401312,Short-Term Suspension
7416855,School Based Action
7433955,School Based Action
7433955,Short-Term Suspension
7447964,School Based Action
7449606,Short-Term Suspension
7452225,Expulsion from School
7452225,School Based Action
7459397,Short-Term Suspension
7459397,Short-Term Suspension
7459397,Short-Term Suspension
7460315,Short-Term Suspension
7460315,Short-Term Suspension
7460315,Long-Term Suspension
7507145,Office Referral
7560338,Short-Term Suspension
7571651,School Based Action
7638826,Short-Term Suspension
7653826,Short-Term Suspension
7653826,Short-Term Suspension
7670828,Office Referral
7670828,Office Referral
7670828,School Based Action
7674926,Short-Term Suspension
7676657,School Based Action
7676657,School Based Action
7686938,Long-Term Suspension
7686938,Long-Term Suspension
7687261,Long-Term Suspension
7689380,Short-Term Suspension
7716106,Short-Term Suspension
7716106,In-House Suspension
7722980,School Based Action
7800851,Long-Term Suspension
7800851,Long-Term Suspension
7805622,Short-Term Suspension
7806812,School Based Action
7821335,Short-Term Suspension
7839397,In-House Suspension
7839397,Short-Term Suspension
7902890,Short-Term Suspension
7904606,School Based Action
7905975,Long-Term Suspension
7929386,Short-Term Suspension
7929386,Long-Term Suspension
7929386,Long-Term Suspension
7929386,Short-Term Suspension
7929386,Short-Term Suspension
7990395,Short-Term Suspension
7990395,Long-Term Suspension
7990395,In-House Suspension
