"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"Argentina","Electricity - net installed capacity of electric power plants, public wind","2013","Kilowatts,  thousand","192",""
"Argentina","Electricity - net installed capacity of electric power plants, public wind","2012","Kilowatts,  thousand","131.8",""
"Argentina","Electricity - net installed capacity of electric power plants, public wind","2011","Kilowatts,  thousand","80","1"
"Argentina","Electricity - net installed capacity of electric power plants, public wind","2010","Kilowatts,  thousand","28",""
"Argentina","Electricity - net installed capacity of electric power plants, public wind","2009","Kilowatts,  thousand","28",""
"Argentina","Electricity - net installed capacity of electric power plants, public wind","2008","Kilowatts,  thousand","28",""
"Argentina","Electricity - net installed capacity of electric power plants, public wind","2007","Kilowatts,  thousand","28",""
"Argentina","Electricity - net installed capacity of electric power plants, public wind","2006","Kilowatts,  thousand","26",""
"Argentina","Electricity - net installed capacity of electric power plants, public wind","2005","Kilowatts,  thousand","26",""
"Argentina","Electricity - net installed capacity of electric power plants, public wind","2004","Kilowatts,  thousand","26",""
"Argentina","Electricity - net installed capacity of electric power plants, public wind","2003","Kilowatts,  thousand","26",""
"Argentina","Electricity - net installed capacity of electric power plants, public wind","2002","Kilowatts,  thousand","26",""
"Argentina","Electricity - net installed capacity of electric power plants, public wind","2001","Kilowatts,  thousand","25",""
"Argentina","Electricity - net installed capacity of electric power plants, public wind","2000","Kilowatts,  thousand","14",""
"Argentina","Electricity - net installed capacity of electric power plants, public wind","1999","Kilowatts,  thousand","14",""
"Argentina","Electricity - net installed capacity of electric power plants, public wind","1998","Kilowatts,  thousand","13",""
"Argentina","Electricity - net installed capacity of electric power plants, public wind","1997","Kilowatts,  thousand","12",""
"Argentina","Electricity - net installed capacity of electric power plants, public wind","1996","Kilowatts,  thousand","4",""
"Armenia","Electricity - net installed capacity of electric power plants, public wind","2013","Kilowatts,  thousand","4",""
"Armenia","Electricity - net installed capacity of electric power plants, public wind","2012","Kilowatts,  thousand","4",""
"Armenia","Electricity - net installed capacity of electric power plants, public wind","2011","Kilowatts,  thousand","4",""
"Armenia","Electricity - net installed capacity of electric power plants, public wind","2010","Kilowatts,  thousand","4",""
"Armenia","Electricity - net installed capacity of electric power plants, public wind","2009","Kilowatts,  thousand","3",""
"Armenia","Electricity - net installed capacity of electric power plants, public wind","2008","Kilowatts,  thousand","3",""
"Aruba","Electricity - net installed capacity of electric power plants, public wind","2013","Kilowatts,  thousand","30",""
"Aruba","Electricity - net installed capacity of electric power plants, public wind","2012","Kilowatts,  thousand","30",""
"Aruba","Electricity - net installed capacity of electric power plants, public wind","2011","Kilowatts,  thousand","30",""
"Aruba","Electricity - net installed capacity of electric power plants, public wind","2010","Kilowatts,  thousand","30",""
"Australia","Electricity - net installed capacity of electric power plants, public wind","2013","Kilowatts,  thousand","3221",""
"Australia","Electricity - net installed capacity of electric power plants, public wind","2012","Kilowatts,  thousand","2561",""
"Australia","Electricity - net installed capacity of electric power plants, public wind","2011","Kilowatts,  thousand","2127",""
"Australia","Electricity - net installed capacity of electric power plants, public wind","2010","Kilowatts,  thousand","1864",""
"Australia","Electricity - net installed capacity of electric power plants, public wind","2009","Kilowatts,  thousand","1703",""
"Australia","Electricity - net installed capacity of electric power plants, public wind","2008","Kilowatts,  thousand","1441",""
"Australia","Electricity - net installed capacity of electric power plants, public wind","2007","Kilowatts,  thousand","1249",""
"Australia","Electricity - net installed capacity of electric power plants, public wind","2006","Kilowatts,  thousand","819",""
"Australia","Electricity - net installed capacity of electric power plants, public wind","2005","Kilowatts,  thousand","740",""
"Australia","Electricity - net installed capacity of electric power plants, public wind","2004","Kilowatts,  thousand","379",""
"Australia","Electricity - net installed capacity of electric power plants, public wind","2003","Kilowatts,  thousand","190",""
"Australia","Electricity - net installed capacity of electric power plants, public wind","2002","Kilowatts,  thousand","106",""
"Australia","Electricity - net installed capacity of electric power plants, public wind","2001","Kilowatts,  thousand","76",""
"Australia","Electricity - net installed capacity of electric power plants, public wind","2000","Kilowatts,  thousand","33",""
"Australia","Electricity - net installed capacity of electric power plants, public wind","1999","Kilowatts,  thousand","10",""
"Australia","Electricity - net installed capacity of electric power plants, public wind","1998","Kilowatts,  thousand","3",""
"Australia","Electricity - net installed capacity of electric power plants, public wind","1997","Kilowatts,  thousand","2","1"
"Australia","Electricity - net installed capacity of electric power plants, public wind","1996","Kilowatts,  thousand","2","1"
