,Reference Area,Time Period,Sex,Age group,Units of measurement,Observation Value,Year,Value,Notes,Continent
0,Albania,2013,All genders,Not applicable,Percent,1.2874700000000001,2011,96.8,,Europe
1,Albania,2013,All genders,Not applicable,Percent,1.2874700000000001,2008,95.9,,Europe
2,Albania,2013,All genders,Not applicable,Percent,1.2874700000000001,2001,98.7,,Europe
3,Albania,2013,Female,Not applicable,Percent,0.8539399999999999,2011,96.8,,Europe
4,Albania,2013,Female,Not applicable,Percent,0.8539399999999999,2008,95.9,,Europe
5,Albania,2013,Female,Not applicable,Percent,0.8539399999999999,2001,98.7,,Europe
6,Albania,2013,Male,Not applicable,Percent,1.67375,2011,96.8,,Europe
7,Albania,2013,Male,Not applicable,Percent,1.67375,2008,95.9,,Europe
8,Albania,2013,Male,Not applicable,Percent,1.67375,2001,98.7,,Europe
9,Albania,2012,Male,Not applicable,Percent,2.3809099999999996,2011,96.8,,Europe
10,Albania,2012,Male,Not applicable,Percent,2.3809099999999996,2008,95.9,,Europe
11,Albania,2012,Male,Not applicable,Percent,2.3809099999999996,2001,98.7,,Europe
12,Albania,2012,Female,Not applicable,Percent,0.16272999999999999,2011,96.8,,Europe
13,Albania,2012,Female,Not applicable,Percent,0.16272999999999999,2008,95.9,,Europe
14,Albania,2012,Female,Not applicable,Percent,0.16272999999999999,2001,98.7,,Europe
15,Albania,2012,All genders,Not applicable,Percent,1.3329600000000001,2011,96.8,,Europe
16,Albania,2012,All genders,Not applicable,Percent,1.3329600000000001,2008,95.9,,Europe
17,Albania,2012,All genders,Not applicable,Percent,1.3329600000000001,2001,98.7,,Europe
18,Albania,2011,All genders,Not applicable,Percent,1.2166299999999999,2011,96.8,,Europe
19,Albania,2011,All genders,Not applicable,Percent,1.2166299999999999,2008,95.9,,Europe
20,Albania,2011,All genders,Not applicable,Percent,1.2166299999999999,2001,98.7,,Europe
21,Albania,2011,Female,Not applicable,Percent,0.85567,2011,96.8,,Europe
22,Albania,2011,Female,Not applicable,Percent,0.85567,2008,95.9,,Europe
23,Albania,2011,Female,Not applicable,Percent,0.85567,2001,98.7,,Europe
24,Albania,2011,Male,Not applicable,Percent,1.53118,2011,96.8,,Europe
25,Albania,2011,Male,Not applicable,Percent,1.53118,2008,95.9,,Europe
26,Albania,2011,Male,Not applicable,Percent,1.53118,2001,98.7,,Europe
27,Albania,2010,Female,Not applicable,Percent,2.1144,2011,96.8,,Europe
