,zip,median,medianError,region
80,90001,34050,1069,S
37,90002,30214,2859,S
83,90003,30016,1594,S
36,90004,38493,2107,E
104,90005,31214,1052,E
72,90006,31403,708,E
87,90007,22646,1264,S
30,90008,36180,3478,S
60,90010,47308,13522,E
11,90011,29889,1243,S
7,90012,29492,2783,E
88,90013,21120,2581,E
28,90015,28953,3170,E
113,90016,38050,2167,S
59,90017,21009,1800,E
97,90018,32104,2457,S
71,90019,43244,2179,E
5,90020,37121,1563,E
90,90021,12748,1885,E
99,90023,37082,2152,E
102,90024,59125,6610,W
33,90025,71278,4458,W
65,90026,46435,2256,E
94,90027,50316,2385,E
17,90028,31742,2322,E
79,90029,35253,2055,E
105,90031,34656,2301,E
43,90032,45208,2162,E
75,90033,27190,1459,E
95,90034,56743,2920,W
76,90035,75327,4307,E
117,90036,71049,3616,E
23,90037,26638,1526,S
48,90038,33850,2590,E
52,90039,67170,5228,E
27,90041,64545,4147,E
19,90042,51427,2394,E
25,90043,38738,2795,S
14,90044,28344,1938,S
58,90045,78082,4594,W
106,90046,56337,3299,E
32,90047,40528,3075,S
57,90048,72913,5560,E
111,90049,116732,7936,W
40,90056,76688,20310,W
77,90057,26940,1260,E
107,90058,15988,3932,E
44,90059,33678,2445,S
84,90061,34566,2735,H
8,90062,32067,3566,S
112,90063,39206,2290,E
61,90064,86573,5904,W
64,90065,52794,2966,E
91,90066,68346,3366,W
31,90068,73373,6854,E
69,90069,78607,6893,E
93,90077,172443,23671,W
50,90094,96010,27849,W
10,90210,138750,14066,W
70,90212,84516,11532,W
68,90230,73786,4102,W
29,90232,71316,8206,W
100,90247,42968,2705,H
6,90248,51956,4886,H
2,90272,157938,18988,W
66,90275,120742,5630,H
20,90291,81025,3599,W
103,90292,103319,6237,W
15,90293,84588,7657,W
73,90305,62558,7284,S
35,90402,131607,16475,W
47,90405,78756,7750,W
114,90501,59878,4223,H
81,90710,54630,3669,H
22,90717,56245,3562,H
78,90731,49786,3255,H
101,90732,84537,5755,H
89,90744,41578,2049,H
13,91040,70830,5579,N
41,91042,57640,5630,N
4,91214,89849,4686,N
1,91302,121715,5322,W
92,91303,46187,3458,N
110,91304,58361,3219,N
42,91306,60959,2176,N
53,91307,98655,3216,N
82,91311,80279,4231,N
3,91316,62016,6952,N
12,91324,58993,5535,N
45,91325,57883,3746,N
85,91326,98831,3907,N
38,91331,51345,2076,N
16,91335,51398,1934,N
55,91340,55217,2973,N
0,91342,60899,2341,N
56,91343,55238,2652,N
9,91344,77247,2855,N
46,91345,60148,4044,N
98,91352,49088,2884,N
96,91356,69148,5296,N
26,91364,93919,7645,N
62,91367,77152,5927,N
21,91401,48994,3851,N
74,91402,39009,1592,N
39,91403,75334,6992,N
86,91405,38162,2145,N
63,91406,50381,2780,N
116,91411,43758,2626,N
18,91423,75671,3673,N
54,91436,128060,14166,N
67,91504,71296,3143,N
34,91505,77679,5404,N
49,91601,47202,3034,N
51,91602,63544,5728,N
109,91604,90528,7046,N
115,91605,43707,2139,N
108,91606,42195,2890,N
24,91607,52274,3291,N
