,zip,median,medianError
0,91342,60899,2341
1,91302,121715,5322
2,90272,157938,18988
3,91316,62016,6952
4,91214,89849,4686
5,90020,37121,1563
6,90248,51956,4886
7,90012,29492,2783
8,90062,32067,3566
9,91344,77247,2855
10,90210,138750,14066
11,90011,29889,1243
12,91324,58993,5535
13,91040,70830,5579
14,90044,28344,1938
15,90293,84588,7657
16,91335,51398,1934
17,90028,31742,2322
18,91423,75671,3673
19,90042,51427,2394
20,90291,81025,3599
21,91401,48994,3851
22,90717,56245,3562
23,90037,26638,1526
24,91607,52274,3291
25,90043,38738,2795
26,91364,93919,7645
27,90041,64545,4147
28,90015,28953,3170
29,90232,71316,8206
30,90008,36180,3478
31,90068,73373,6854
32,90047,40528,3075
33,90025,71278,4458
34,91505,77679,5404
35,90402,131607,16475
36,90004,38493,2107
37,90002,30214,2859
38,91331,51345,2076
39,91403,75334,6992
40,90056,76688,20310
41,91042,57640,5630
42,91306,60959,2176
43,90032,45208,2162
44,90059,33678,2445
45,91325,57883,3746
46,91345,60148,4044
47,90405,78756,7750
48,90038,33850,2590
49,91601,47202,3034
50,90094,96010,27849
51,91602,63544,5728
52,90039,67170,5228
53,91307,98655,3216
54,91436,128060,14166
55,91340,55217,2973
56,91343,55238,2652
57,90048,72913,5560
58,90045,78082,4594
59,90017,21009,1800
60,90010,47308,13522
61,90064,86573,5904
62,91367,77152,5927
63,91406,50381,2780
64,90065,52794,2966
65,90026,46435,2256
66,90275,120742,5630
67,91504,71296,3143
68,90230,73786,4102
69,90069,78607,6893
70,90212,84516,11532
71,90019,43244,2179
72,90006,31403,708
73,90305,62558,7284
74,91402,39009,1592
75,90033,27190,1459
76,90035,75327,4307
77,90057,26940,1260
78,90731,49786,3255
79,90029,35253,2055
80,90001,34050,1069
81,90710,54630,3669
82,91311,80279,4231
83,90003,30016,1594
84,90061,34566,2735
85,91326,98831,3907
86,91405,38162,2145
87,90007,22646,1264
88,90013,21120,2581
89,90744,41578,2049
90,90021,12748,1885
91,90066,68346,3366
92,91303,46187,3458
93,90077,172443,23671
94,90027,50316,2385
95,90034,56743,2920
96,91356,69148,5296
97,90018,32104,2457
98,91352,49088,2884
99,90023,37082,2152
100,90247,42968,2705
101,90732,84537,5755
102,90024,59125,6610
103,90292,103319,6237
104,90005,31214,1052
105,90031,34656,2301
106,90046,56337,3299
107,90058,15988,3932
108,91606,42195,2890
109,91604,90528,7046
110,91304,58361,3219
111,90049,116732,7936
112,90063,39206,2290
113,90016,38050,2167
114,90501,59878,4223
115,91605,43707,2139
116,91411,43758,2626
117,90036,71049,3616
