geoid,name,B19001001,"B19001001, Error",B19001002,"B19001002, Error",B19001003,"B19001003, Error",B19001004,"B19001004, Error",B19001005,"B19001005, Error",B19001006,"B19001006, Error",B19001007,"B19001007, Error",B19001008,"B19001008, Error",B19001009,"B19001009, Error",B19001010,"B19001010, Error",B19001011,"B19001011, Error",B19001012,"B19001012, Error",B19001013,"B19001013, Error",B19001014,"B19001014, Error",B19001015,"B19001015, Error",B19001016,"B19001016, Error",B19001017,"B19001017, Error"
86000US90001,90001,13325,291,1362,217,1273,248,923,171,1196,204,935,194,1244,234,1036,182,650,158,632,146,961,198,1096,175,1122,187,496,123,220,82,130,63,49,34
86000US90002,90002,11888,312,1632,250,1483,225,973,155,922,181,911,195,554,146,798,192,621,146,524,137,840,149,939,203,925,178,413,132,185,84,119,56,49,36
86000US90003,90003,15891,330,2151,251,1780,248,1541,226,1381,208,1089,210,986,209,1082,152,885,139,648,143,1197,190,1384,249,1005,157,483,115,178,78,65,50,36,32
86000US90004,90004,22765,371,1744,264,1698,236,1804,265,1842,275,1832,258,1552,231,1242,236,1143,194,1086,182,1590,222,1632,215,1704,229,1134,205,556,129,865,169,1341,177
86000US90005,90005,15408,358,1550,231,1665,225,1738,266,1083,208,1251,217,1425,198,1280,201,745,181,558,136,1055,197,1166,191,857,170,292,92,262,114,225,89,256,89
86000US90006,90006,19026,291,1529,185,1790,221,1960,219,1964,208,1533,221,2114,258,1472,218,1194,172,933,154,1213,203,1552,230,1012,176,368,97,176,66,90,54,126,61
86000US90007,90007,11617,264,2874,208,1387,201,953,181,924,167,704,129,761,161,547,106,377,122,398,113,602,155,615,156,686,125,344,104,265,87,91,51,89,43
86000US90008,90008,14281,376,1774,299,1829,301,1162,246,696,176,996,249,549,185,545,150,565,190,622,223,895,213,1196,221,1252,247,1081,188,303,130,418,110,398,166
86000US90010,90010,2170,259,274,114,178,80,89,76,119,70,68,63,69,48,124,74,128,96,56,40,130,80,289,121,171,76,147,93,143,80,85,54,100,56
86000US90011,90011,22242,318,2441,266,2222,247,2646,335,1986,281,1864,237,1707,258,1325,192,1353,212,1184,181,1543,209,1761,237,1120,164,614,127,199,65,181,67,96,48
86000US90012,90012,10101,378,1603,225,1499,246,932,168,591,163,470,100,377,132,355,114,257,108,174,53,686,157,730,165,736,138,754,172,399,156,345,102,193,84
86000US90013,90013,5872,393,1268,238,1153,318,394,131,410,196,157,138,190,100,264,128,90,70,35,28,218,102,384,134,581,191,276,119,141,73,171,85,140,67
86000US90014,90014,4677,374,1256,301,934,205,282,120,249,142,139,101,85,68,140,163,231,152,66,55,166,89,109,60,483,168,164,81,162,92,108,67,103,53
86000US90015,90015,7264,266,1054,196,1034,186,705,149,450,114,464,113,295,111,287,86,322,124,229,80,279,106,526,134,513,130,403,129,165,66,233,113,305,121
86000US90016,90016,17048,363,1803,284,1597,256,1304,242,1328,207,921,190,1028,214,951,191,850,171,504,141,1451,300,1346,193,1867,280,970,203,489,121,400,132,239,92
