"geoid","name","B19001001","B19001002","B19001003","B19001004","B19001004_Error","B19001005","B19001006","B19001007","B19001008","B19001008_Error","B19001009","B19001010","B19001010_Error","B19001011","B19001012","B19001013","B19001013_Error","B19001014","B19001014_Error","B19001015","B19001015_Error","B19001016","B19001017"
"86000US90001","90001","13325","1362","1273","923","171","1196","935","1244","1036","182","650","632","146","961","1096","1122","187","496","123","220","82","130","49"
"86000US90002","90002","11888","1632","1483","973","155","922","911","554","798","192","621","524","137","840","939","925","178","413","132","185","84","119","49"
"86000US90003","90003","15891","2151","1780","1541","226","1381","1089","986","1082","152","885","648","143","1197","1384","1005","157","483","115","178","78","65","36"
"86000US90004","90004","22765","1744","1698","1804","265","1842","1832","1552","1242","236","1143","1086","182","1590","1632","1704","229","1134","205","556","129","865","1341"
"86000US90005","90005","15408","1550","1665","1738","266","1083","1251","1425","1280","201","745","558","136","1055","1166","857","170","292","92","262","114","225","256"
"86000US90006","90006","19026","1529","1790","1960","219","1964","1533","2114","1472","218","1194","933","154","1213","1552","1012","176","368","97","176","66","90","126"
"86000US90007","90007","11617","2874","1387","953","181","924","704","761","547","106","377","398","113","602","615","686","125","344","104","265","87","91","89"
"86000US90008","90008","14281","1774","1829","1162","246","696","996","549","545","150","565","622","223","895","1196","1252","247","1081","188","303","130","418","398"
"86000US90010","90010","2170","274","178","89","76","119","68","69","124","74","128","56","40","130","289","171","76","147","93","143","80","85","100"
"86000US90011","90011","22242","2441","2222","2646","335","1986","1864","1707","1325","192","1353","1184","181","1543","1761","1120","164","614","127","199","65","181","96"
"86000US90012","90012","10101","1603","1499","932","168","591","470","377","355","114","257","174","53","686","730","736","138","754","172","399","156","345","193"
"86000US90013","90013","5872","1268","1153","394","131","410","157","190","264","128","90","35","28","218","384","581","191","276","119","141","73","171","140"
"86000US90014","90014","4677","1256","934","282","120","249","139","85","140","163","231","66","55","166","109","483","168","164","81","162","92","108","103"
"86000US90015","90015","7264","1054","1034","705","149","450","464","295","287","86","322","229","80","279","526","513","130","403","129","165","66","233","305"
"86000US90016","90016","17048","1803","1597","1304","242","1328","921","1028","951","191","850","504","141","1451","1346","1867","280","970","203","489","121","400","239"
"86000US90017","90017","9577","1979","1424","1220","186","758","562","336","462","106","313","208","74","465","318","576","163","288","96","105","62","318","245"
"86000US90018","90018","15569","1735","1839","1335","219","1511","1017","853","845","186","781","622","133","1375","1283","958","168","526","132","419","118","320","150"
"86000US90019","90019","24161","1936","2042","1793","295","1317","1277","1240","1463","241","1394","1162","223","1940","1888","2335","317","1281","170","768","187","947","1378"
"86000US90020","90020","16374","1234","1153","1552","257","1154","1171","1419","1282","267","1131","934","249","835","1431","1390","231","722","185","270","120","331","365"
"86000US90021","90021","1680","507","460","120","71","60","39","38","76","48","21","20","24","100","70","48","39","54","42","34","33","24","9"
"86000US90023","90023","10860","922","983","936","238","880","770","645","702","147","782","419","120","1072","1061","956","165","352","117","217","77","123","40"
"86000US90024","90024","17261","3158","708","767","195","502","638","644","350","117","580","350","124","972","1145","1234","237","1243","215","901","238","1081","2988"
"86000US90025","90025","21577","1295","812","845","212","791","756","643","540","191","697","723","188","1849","2241","2883","339","2370","347","1269","272","1682","2181"
"86000US90026","90026","25139","1999","1585","1597","250","1609","1348","1485","1291","202","1334","1033","184","1963","2160","2783","336","1637","242","844","173","1259","1212"
"86000US90027","90027","21485","1724","2077","1166","196","1419","1144","883","753","158","813","693","181","1458","2206","2320","280","1641","245","896","176","826","1466"
"86000US90028","90028","15621","2284","1859","1307","330","948","1023","992","587","181","661","688","204","1121","1322","1322","247","635","199","272","116","317","283"
"86000US90029","90029","14129","1328","1324","1240","176","972","1055","1104","670","175","970","609","155","1423","1105","1043","176","606","131","267","89","203","210"
"86000US90031","90031","11286","828","1070","1262","207","915","931","686","555","132","480","414","115","919","849","1115","190","642","157","228","67","212","180"
"86000US90032","90032","13035","823","879","882","186","867","750","645","861","194","785","625","150","951","1325","1608","175","985","169","516","118","381","152"
"86000US90033","90033","12967","1769","1620","1405","218","1213","944","795","809","191","633","494","133","897","853","741","151","345","94","214","89","139","96"
"86000US90034","90034","25836","2418","835","1066","242","1205","1125","1161","1081","228","1070","1339","264","2162","2816","3631","402","1945","256","1180","248","1403","1399"
"86000US90035","90035","13367","802","790","368","113","333","539","615","616","172","384","352","151","935","918","1706","264","1095","192","944","208","1229","1741"
"86000US90036","90036","18450","1491","762","591","165","527","779","651","713","186","841","571","169","1056","1775","2267","352","1652","308","1355","242","1610","1809"
"86000US90037","90037","16334","1886","2169","1879","285","1739","1331","1174","785","189","964","552","113","995","1172","865","169","430","110","218","72","145","30"
"86000US90038","90038","11935","1125","1401","1157","241","973","608","853","575","116","620","470","125","865","1007","962","202","529","136","185","89","264","341"
"86000US90039","90039","11547","559","582","426","114","577","494","526","517","128","350","315","115","770","1239","1538","244","1154","242","735","176","880","885"
"86000US90041","90041","9492","490","511","436","169","395","415","377","306","125","429","341","111","588","987","1147","202","981","182","515","161","719","855"
"86000US90042","90042","19637","1320","1121","1269","233","1221","879","1068","1019","168","986","669","134","1722","2018","2307","262","1607","233","856","166","975","600"
"86000US90043","90043","16328","1400","2214","1136","231","995","1197","760","665","131","574","482","140","1153","1215","1483","256","1000","210","739","186","651","664"
"86000US90044","90044","26156","3680","3006","2750","321","2370","1676","2035","1363","231","1248","973","205","1813","1681","1900","261","875","154","290","97","305","191"
"86000US90045","90045","15720","998","451","478","144","515","631","711","471","143","422","517","160","847","1461","2079","321","1477","271","1114","208","1706","1842"
"86000US90046","90046","28716","2112","2474","1532","302","1415","1082","945","880","228","1174","1273","298","2127","2324","3261","440","1711","320","1676","316","1498","3232"
"86000US90047","90047","16164","1722","1501","791","206","1065","1110","1058","766","180","682","609","183","1366","1411","1965","282","943","194","494","175","468","213"
"86000US90048","90048","11757","687","633","516","168","270","219","405","386","136","431","432","131","1053","950","1300","248","1065","198","652","172","985","1773"
"86000US90049","90049","16252","517","406","315","121","444","351","251","256","105","536","321","121","1027","1005","1686","283","1401","215","1102","223","1783","4851"
"86000US90056","90056","3551","131","88","28","33","134","147","122","241","136","78","88","83","346","359","253","123","371","145","279","126","341","545"
