geoid,zip,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17
86000US90001,90001,13325,1362,1273,923,1196,935,1244,1036,650,632,961,1096,1122,496,220,130,49
86000US90002,90002,11888,1632,1483,973,922,911,554,798,621,524,840,939,925,413,185,119,49
86000US90003,90003,15891,2151,1780,1541,1381,1089,986,1082,885,648,1197,1384,1005,483,178,65,36
86000US90004,90004,22765,1744,1698,1804,1842,1832,1552,1242,1143,1086,1590,1632,1704,1134,556,865,1341
86000US90005,90005,15408,1550,1665,1738,1083,1251,1425,1280,745,558,1055,1166,857,292,262,225,256
86000US90006,90006,19026,1529,1790,1960,1964,1533,2114,1472,1194,933,1213,1552,1012,368,176,90,126
86000US90007,90007,11617,2874,1387,953,924,704,761,547,377,398,602,615,686,344,265,91,89
86000US90008,90008,14281,1774,1829,1162,696,996,549,545,565,622,895,1196,1252,1081,303,418,398
86000US90010,90010,2170,274,178,89,119,68,69,124,128,56,130,289,171,147,143,85,100
86000US90011,90011,22242,2441,2222,2646,1986,1864,1707,1325,1353,1184,1543,1761,1120,614,199,181,96
86000US90012,90012,10101,1603,1499,932,591,470,377,355,257,174,686,730,736,754,399,345,193
86000US90013,90013,5872,1268,1153,394,410,157,190,264,90,35,218,384,581,276,141,171,140
86000US90014,90014,4677,1256,934,282,249,139,85,140,231,66,166,109,483,164,162,108,103
86000US90015,90015,7264,1054,1034,705,450,464,295,287,322,229,279,526,513,403,165,233,305
86000US90016,90016,17048,1803,1597,1304,1328,921,1028,951,850,504,1451,1346,1867,970,489,400,239
86000US90017,90017,9577,1979,1424,1220,758,562,336,462,313,208,465,318,576,288,105,318,245
86000US90018,90018,15569,1735,1839,1335,1511,1017,853,845,781,622,1375,1283,958,526,419,320,150
86000US90019,90019,24161,1936,2042,1793,1317,1277,1240,1463,1394,1162,1940,1888,2335,1281,768,947,1378
86000US90020,90020,16374,1234,1153,1552,1154,1171,1419,1282,1131,934,835,1431,1390,722,270,331,365
86000US90021,90021,1680,507,460,120,60,39,38,76,21,20,100,70,48,54,34,24,9
86000US90023,90023,10860,922,983,936,880,770,645,702,782,419,1072,1061,956,352,217,123,40
86000US90024,90024,17261,3158,708,767,502,638,644,350,580,350,972,1145,1234,1243,901,1081,2988
86000US90025,90025,21577,1295,812,845,791,756,643,540,697,723,1849,2241,2883,2370,1269,1682,2181
86000US90026,90026,25139,1999,1585,1597,1609,1348,1485,1291,1334,1033,1963,2160,2783,1637,844,1259,1212
