,FY 05/06,FY 06/07,FY 07/08,FY 08/09,FY 09/10,FY 10/11,FY 11/12,FY 12/13,Location 1
0,32,36,34,32,27,26,36,16,91342
1,18,19,17,14,13,13,13,12,91309
2,62,66,58,65,55,52,44,36,91302
3,31,35,32,31,26,26,27,24,90272
4,47,52,50,49,41,41,44,26,91316
5,23,26,24,23,17,16,18,18,91214
6,98,99,93,90,84,82,82,37,90020
7,28,27,26,25,20,21,23,10,90248
8,117,119,107,106,101,102,101,8,90012
9,16,17,16,15,15,14,14,10,90062
10,28,31,29,27,22,21,23,20,91344
11,48,56,53,51,41,40,43,45,90210
12,24,24,23,23,21,20,21,11,90011
13,37,40,37,35,30,30,31,22,91324
14,26,28,25,24,19,19,20,16,91040
15,19,19,18,17,17,16,16,10,90044
16,44,41,38,37,34,35,37,13,90293
17,25,27,25,24,21,20,21,14,91335
18,62,61,60,59,55,54,55,10,90028
19,31,34,32,30,26,26,27,20,91423
20,20,21,19,18,17,17,17,9,90042
21,16,17,15,15,14,14,14,9,90291
22,29,31,29,28,24,24,25,16,91401
23,21,21,20,19,18,18,17,12,90717
24,28,30,27,27,25,25,25,11,90037
25,32,34,31,29,26,26,27,18,91607
26,15,16,15,14,13,13,13,9,90043
27,32,36,32,30,25,25,26,22,91364
28,18,19,18,17,15,15,15,11,90041
29,48,48,47,47,47,48,48,10,90015
30,37,38,38,36,32,31,31,6,90232
31,23,24,23,22,20,19,20,10,90008
32,29,33,30,28,25,25,26,17,90068
33,13,14,13,13,12,11,11,9,90047
34,41,42,41,39,35,33,33,11,90025
35,25,26,26,25,20,19,20,13,91505
36,23,24,22,22,19,19,20,20,90402
37,41,42,39,38,35,34,34,18,90004
38,20,21,19,18,17,16,17,11,90002
39,25,27,25,24,21,21,22,15,91331
40,31,35,32,31,26,26,27,20,91403
41,19,22,20,18,17,16,17,12,90056
42,20,21,20,18,16,15,16,12,91042
43,24,25,24,22,19,19,20,15,91306
44,19,19,18,18,16,16,16,10,90032
45,22,22,22,20,19,17,17,11,90059
46,42,47,44,41,35,34,36,24,91325
47,27,30,27,25,21,20,23,15,91345
48,6,7,7,6,7,6,7,7,90405
49,42,43,40,39,35,34,34,10,90038
50,27,29,27,26,24,24,24,13,91601
51,79,79,81,87,86,90,88,9,90094
52,36,40,37,35,31,31,32,21,91602
53,19,20,19,18,17,16,17,10,90039
54,24,26,25,23,18,18,20,18,91307
55,39,44,42,39,32,32,34,32,91436
56,25,26,24,23,19,19,19,14,91340
57,33,35,33,31,27,26,27,17,91343
58,33,34,31,31,29,28,29,14,90048
59,33,35,33,32,27,29,29,12,90045
60,160,164,175,176,164,157,154,11,90017
61,138,138,129,128,119,120,119,9,90010
62,25,27,25,24,21,21,22,14,90064
63,39,43,41,38,32,32,35,24,91367
64,53,55,45,43,37,35,35,14,91406
65,17,17,16,15,14,14,14,9,90065
66,24,24,23,22,22,20,19,9,90026
67,12,15,12,11,10,9,9,9,90275
68,39,42,41,39,34,33,34,14,91504
69,19,20,19,18,16,16,16,9,90230
70,40,42,40,39,36,35,36,25,90069
71,37,51,56,55,50,26,42,70,90212
72,25,26,24,23,22,21,22,12,90019
73,47,47,45,44,42,41,41,11,90006
74,14,15,14,12,11,11,12,12,90305
75,39,41,39,37,34,33,33,14,91402
76,36,37,34,33,33,32,32,10,90033
77,26,26,25,24,22,22,22,14,90035
78,102,103,95,95,91,90,91,9,90057
79,31,29,35,34,24,22,23,10,90731
80,42,42,40,39,36,35,35,10,90029
81,20,21,19,18,15,14,15,10,90001
82,26,27,26,25,24,23,24,11,90710
83,38,42,39,37,30,30,32,23,91311
84,21,20,19,19,18,17,17,10,90003
85,30,29,25,25,26,25,25,11,90061
86,32,36,33,31,25,25,27,21,91326
87,38,39,37,36,32,31,32,14,91405
88,46,50,44,44,41,50,41,12,90007
89,59,59,58,58,54,55,57,5,90013
90,70,79,84,83,73,74,66,11,90744
91,56,54,48,48,43,45,46,21,90021
92,20,21,19,18,17,16,17,11,90066
93,35,38,36,35,31,31,32,14,91303
94,45,52,48,46,38,39,39,36,90077
95,49,53,48,47,39,40,41,17,90027
96,30,31,30,28,26,26,26,12,90034
97,49,55,51,48,40,40,42,33,91356
98,23,23,22,21,19,19,19,10,90018
99,39,42,41,40,32,31,35,15,91352
100,33,33,30,29,27,27,28,10,90023
101,25,25,23,22,20,20,20,11,90247
102,26,28,25,24,21,21,22,12,90732
103,76,76,74,72,63,67,68,28,90024
104,34,35,35,35,33,32,33,9,90292
105,74,74,67,65,63,63,63,25,90005
106,27,29,26,25,23,23,23,9,90031
107,32,33,32,30,27,27,27,19,90046
108,42,42,34,33,30,27,26,10,90058
109,30,31,29,27,24,23,24,14,91606
110,34,36,34,32,29,29,29,21,91604
111,35,38,36,34,28,28,29,20,91304
112,42,46,43,41,36,35,36,30,90049
113,18,19,17,17,15,15,16,9,90063
114,21,22,20,19,18,18,18,10,90016
115,27,28,26,25,24,23,23,11,90501
116,29,31,28,27,23,23,24,14,91605
117,31,33,31,29,27,26,28,15,91411
118,37,39,36,35,32,33,34,16,90036
