month,total
Jul_2005,10510.89
Aug_2005,10683.15
Sep_2005,9738.24
Oct_2005,9347.4
Nov_2005,8206.74
Dec_2005,8283.94
Jan_2006,7858.08
Feb_2006,7244.17
Mar_2006,7225.64
Apr_2006,6874.22
May_2006,8459.9
Jun_2006,9487.82
Jul_2006,10667.56
Aug_2006,10718.16
Sep_2006,10381.76
Oct_2006,10083.78
Nov_2006,9272.1
Dec_2006,9026.77
Jan_2007,8731.83
Feb_2007,8247.19
Mar_2007,8756.79
Apr_2007,9097.77
May_2007,10046.29
Jun_2007,10651.68
Jul_2007,10436.52
Aug_2007,10954.99
Sep_2007,9867.83
Oct_2007,11008.38
Nov_2007,8684.34
Dec_2007,7469.06
Jan_2008,7241.64
Feb_2008,6163.37
Mar_2008,9868.78
Apr_2008,10445.46
May_2008,11688.79
Jun_2008,8852.55
Jul_2008,10372.25
Aug_2008,10866.1
Sep_2008,10081.18
Oct_2008,9819.62
Nov_2008,8627.81
Dec_2008,7388.25
Jan_2009,7301.37
Feb_2009,6114.54
Mar_2009,7395.93
Apr_2009,7935.85
May_2009,8765.56
Jun_2009,7977.96
Jul_2009,11738.5
Aug_2009,11858.09
Sep_2009,11429.06
Oct_2009,10978.87
Nov_2009,9871.12
Dec_2009,6667.34
Jan_2010,6125.67
Feb_2010,5421.14
Mar_2010,6763.93
Apr_2010,7554.48
May_2010,7843.35
Jun_2010,7963.24
Jul_2010,8729.43
Aug_2010,9174.92
Sep_2010,8391.89
Oct_2010,7930.97
Nov_2010,6584.24
Dec_2010,6095.35
Jan_2011,6555.06
Feb_2011,5683.89
Mar_2011,6344.39
Apr_2011,6966.59
May_2011,7914.8
Jun_2011,7710.65
Jul_2011,7415.23
Aug_2011,7694.92
Sep_2011,7251.83
Oct_2011,6913.48
Nov_2011,5943.73
Dec_2011,5981.86
Jan_2012,5973.81
Feb_2012,5968.67
Mar_2012,6239.79
Apr_2012,5539.34
May_2012,6805.22
Jun_2012,7226.57
