FY05/06,total6,total7,total8,total9,total10,total11,total12
Jul_2005,10510.89,10667.56,10436.52,10372.25,11738.5,8729.43,7415.23
Aug_2005,10683.15,10718.16,10954.99,10866.1,11858.09,9174.92,7694.92
Sep_2005,9738.24,10381.76,9867.83,10081.18,11429.06,8391.89,7251.83
Oct_2005,9347.4,10083.78,11008.38,9819.62,10978.87,7930.97,6913.48
Nov_2005,8206.74,9272.1,8684.34,8627.81,9871.12,6584.24,5943.73
Dec_2005,8283.94,9026.77,7469.06,7388.25,6667.34,6095.35,5981.86
Jan_2006,7858.08,8731.83,7241.64,7301.37,6125.67,6555.06,5973.81
Feb_2006,7244.17,8247.19,6163.37,6114.54,5421.14,5683.89,5968.67
Mar_2006,7225.64,8756.79,9868.78,7395.93,6763.93,6344.39,6239.79
Apr_2006,6874.22,9097.77,10445.46,7935.85,7554.48,6966.59,5539.34
May_2006,8459.9,10046.29,11688.79,8765.56,7843.35,7914.8,6805.22
Jun_2006,9487.82,10651.68,8852.55,7977.96,7963.24,7710.65,7226.57
